,id,label,comment,AWS Labels,AWS Scores
10,2987,positive,Thanks for the patch,POSITIVE,0.95894134
11,3399,neutral,Changed MULTI_TEXTVALUE_SEPARATOR into a property configurable by injection of constant named xwork.validatorfileparser.multi_textvalue_separator. This makes it possible to have empty String as 'separator' if it apllies to your particular platform,NEUTRAL,0.984373689
12,3591,neutral,That is my understanding. Looking at the dtd,NEUTRAL,0.806199312
13,4163,neutral,No reply,NEGATIVE,0.64288038
14,4223,neutral,Updated in 1.2 branch. David,NEUTRAL,0.986552775
15,4694,neutral,As Wing Yew said,NEUTRAL,0.998502016
16,4758,neutral,See comments above,NEUTRAL,0.997429073
17,4887,positive,Patch Applied. Good Work Adrian!,POSITIVE,0.970063627
18,5294,positive,After re-compiling the applcation and re-deploying everything worked properly,POSITIVE,0.52232033
19,5373,neutral,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel,NEUTRAL,0.99763298
20,5491,neutral,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0,NEUTRAL,0.960478723
21,5711,neutral,Venu committed your patch. It's in Xerces 2.6.0. Please verify.,NEUTRAL,0.979086459
22,5713,neutral,Venu committed your patch for Xerces 2.6.0. Please verify.,NEUTRAL,0.98857224
23,5721,neutral,All of the components in the configuration get reset before parsing begins. This gives each component an opportunity to read features and properties from the configuration,POSITIVE,0.559692085
24,5784,neutral,This bug is 3 years old. Anybody looking to fix it?,NEGATIVE,0.760761201
25,6272,neutral,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,NEGATIVE,0.78946209
26,6447,neutral,See bug 5694 for the DOMException problem.,NEUTRAL,0.641637206
27,6555,neutral,Reporter took back the issue.,NEUTRAL,0.924742162
28,7278,positive,Hi George,NEUTRAL,0.999394417
29,7380,neutral,As a work around,NEUTRAL,0.935679615
30,7461,positive,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!,POSITIVE,0.684180319
31,7577,neutral,patch in cvs. Could you please verify?,NEUTRAL,0.977085352
32,7665,positive,Verified,NEUTRAL,0.796726525
33,8098,neutral,*** Bug 9236 has been marked as a duplicate of this bug. ***,NEUTRAL,0.852703154
34,8202,neutral,*** Bug 8704 has been marked as a duplicate of this bug. ***,NEUTRAL,0.926044464
35,8502,neutral,I tried using your testcase on Win95/IE4,NEUTRAL,0.996984184
36,8640,neutral,I think you want the XMLBEANS project,NEUTRAL,0.879419267
37,8813,neutral,checked in,NEUTRAL,0.905477881
38,8980,neutral,Added 'onRowInserted' callback to TreeTable,NEUTRAL,0.950032651
39,9485,neutral,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,NEGATIVE,0.550944686
40,9798,neutral,closing this issue.,NEGATIVE,0.911298454
41,9989,neutral,Xalan-Java appears to be operating correctly.,POSITIVE,0.839412153
42,10261,neutral,I checked that this bug was fixed in version 2.5.2.,NEUTRAL,0.558470011
43,10314,neutral,First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second,NEUTRAL,0.534804821
44,10446,neutral,This bug has been fixed in Xalan Java 2.5.2. Please verify.,NEGATIVE,0.740911663
45,10696,neutral,Closing this issue. Please re-open if you have a testcase.,NEGATIVE,0.609478712
46,10856,negative,I think with the latest code,NEUTRAL,0.994159698
47,11149,negative,I wasn't able to reproduce the problem with the attachments. I saw appropriate error messages,NEGATIVE,0.95386672
48,11480,neutral,Retest shows Running xalan on lre02 <?xml version='1.0' encoding='UTF-8'?> <out xmlns='www.lotus.com' xmlns:ped='http://tester.com' english='to leave'/> Running XSLTC with Xerces Parser on lre02 <?xml version='1.0' encoding='UTF-8' ?> <out xmlns:ped='http://tester.com' xmlns='www.lotus.com' english='to leave'/>,NEUTRAL,0.974465132
49,11526,neutral,Original reporter is not available. This report has now 'timed out'.,NEGATIVE,0.683209062
50,11718,neutral,*** This bug has been marked as a duplicate of 6155 ***,NEUTRAL,0.647923231
51,11834,neutral,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html,NEUTRAL,0.958862185
52,11881,neutral,AFAIK,NEUTRAL,0.679486454
53,11978,negative,Unfortunatly,NEGATIVE,0.999427199
54,12310,neutral,Very cool. Thank you.,POSITIVE,0.995032191
55,12357,negative,You are mixing runtimes. You must link _all_ executables with the same run- time library. For release,NEUTRAL,0.918334961
56,12834,neutral,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,NEUTRAL,0.998878539
57,12867,neutral,Integrated in Struts2 #545 (See https://builds.apache.org/job/Struts2/545/) WW-3881 allows new html input types (Revision 1397712) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/core/src/site/resources/tags/ajax/autocompleter.html,NEUTRAL,0.999658227
58,12989,neutral,Already resolved with WW-3414,NEUTRAL,0.655916035
59,13391,neutral,I am also having the same issue with a java.sql.Timestamp based attribute. The date I entered into the field was 'not a date'. Of course,NEGATIVE,0.770516098
60,13658,neutral,> Would it have an impact to remove this 'name' attribute from the generated 'form' tag ? YES! If you need XHTML strict compliance,NEUTRAL,0.652654111
61,13977,neutral,Assigning this to future until the dependent XWork enhancement is made.,NEUTRAL,0.918132663
62,13997,neutral,Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,NEUTRAL,0.999430358
63,14206,neutral,Ported the solution of WW-2551 to the Struts 2.0 branch.,NEUTRAL,0.877037168
64,14237,neutral,Resolving this issue as the original problem has been fixed. Please open a new ticket if you feel session invalidation should also be addressed.,NEUTRAL,0.783041656
65,14371,neutral,This is by design,NEUTRAL,0.983996212
66,14387,neutral,we're moving away from dojo integration in struts2,NEUTRAL,0.777114153
67,14571,positive,yay! it should be really really easy (not including the test,POSITIVE,0.603705466
68,14704,neutral,This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541,NEUTRAL,0.794075251
69,14849,neutral,Reporter asked for this to be closed.,NEUTRAL,0.986160636
70,14921,neutral,Makes sense to me.,POSITIVE,0.739971578
71,15073,neutral,duplicate of WW-1598,NEUTRAL,0.995519042
72,15084,neutral,Hellow,NEUTRAL,0.994255602
73,15330,neutral,As of r438174 ,NEUTRAL,0.998835623
74,15698,neutral,I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However,NEGATIVE,0.977772534
75,15793,neutral,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,NEUTRAL,0.69247067
76,15801,negative,Given the dependencies,NEUTRAL,0.990163982
77,15893,neutral,You are only flushing the writer,NEGATIVE,0.690725267
78,16633,neutral,This was fixed by having all the items in the action chain having their properties copied over to the new action.,NEUTRAL,0.550844133
79,16677,neutral,Property editors may throw a PropertyException with a bundle key and this will then be localized in ActionSupport.,NEUTRAL,0.978278935
80,16908,positive,Thanks. The problem is with deferred node expansion,NEGATIVE,0.827577472
81,16927,neutral,I'll update the javadoc accordingly.,NEUTRAL,0.693787277
82,17369,neutral,Marking this issue as resolved. Reasons: - Not reproducible. - No feedback from reporter. - If there was a dependency issue,NEGATIVE,0.918138802
83,17727,neutral,Verified. I added the info to the RELEASE_NOTES file.,NEUTRAL,0.892795384
84,17895,neutral,Verified. I added the info to the RELEASE_NOTES file.,NEUTRAL,0.892795384
85,17964,neutral,Fixed.,POSITIVE,0.557396531
86,18020,neutral,r563181 pom.xml,NEUTRAL,0.999249279
87,18037,neutral,r499213. The API changed as described in previous comments,NEUTRAL,0.999278486
88,18059,neutral,This was probably fixed by WODEN-86 which introduced support for the curly brace syntax in the http location template. This JIRA can now be closed.,NEUTRAL,0.727025211
89,18121,neutral,Resolved with no further action,NEGATIVE,0.343981922
90,18301,neutral,Issue is resolved. Closing per Bryant's approval to do so.,NEUTRAL,0.733125865
91,18707,neutral,Ah,NEUTRAL,0.995131254
92,18885,positive,Thanks Sven!,POSITIVE,0.993644595
93,19423,neutral,Attached QuickStart. Access URL is https://localhost:8443/test/ajaxtest - click on the buttons several times - refresh page: the counters should now reflect the clicks - click on the buttons more times - refresh page: the counters do not reflect click after first refresh,NEUTRAL,0.982821524
94,19722,neutral,Just an idea: how about treating a jar as versioned resource? For example in my case that would work beautifully: my star rating component was in its own jar file,NEUTRAL,0.827010095
95,19905,negative,Bummer! -- The solution too this problem was that my JVM had too little memory (64MB) for allocating all the byte buffers required for writing / reading serialized pages.,NEGATIVE,0.99905771
96,19946,neutral,Is there any documentation such as 'getting started with swarm' available? If there is,NEUTRAL,0.844632924
97,20061,neutral,Fixed with r1097472.,NEUTRAL,0.928760946
98,20237,neutral,See my comment in WICKET-3093.,NEUTRAL,0.998095572
99,20258,neutral,By the way,NEUTRAL,0.95601052
100,20296,neutral,Integrated in Apache Wicket 1.4.x #436 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/436/]) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__WICKET-3413 FLAG_INHERITABLE_MODEL and default model change reset 'inherited model' flag if model changed and a new one is not IComponentInheritedModel,NEUTRAL,0.991072595
101,20625,neutral,Integrated in Apache Wicket 1.4.x #200 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/200/]) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__,NEUTRAL,0.999545038
102,20729,negative,Sorry,NEGATIVE,0.970875919
103,20748,neutral,Integrated in Apache Wicket 1.4.x #58 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.4.x/58/]) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__,NEUTRAL,0.999411702
104,20803,neutral,this will be tackled when we improve ajax,NEUTRAL,0.450128883
105,20905,neutral,1.3.x is no longer maintained outside of security-related issues,NEGATIVE,0.958597064
106,20927,neutral,woops,NEUTRAL,0.651478112
107,20968,neutral,Integrated in Apache Wicket 1.5.x #54 (See [http://hudson.zones.apache.org/hudson/job/Apache%20Wicket%201.5.x/54/]) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__,NEUTRAL,0.999379158
108,21128,positive,thanks,POSITIVE,0.468721837
109,21977,neutral,How about my comment at the end? 'Also,NEUTRAL,0.926530421
110,22097,neutral,seems like all subtask as resolved,POSITIVE,0.580579519
111,22447,neutral,A RangeValidator exists by now which looks very similar to yours.,POSITIVE,0.594426811
112,22766,neutral,Fixed and I've tested it.,NEUTRAL,0.507496595
113,23248,neutral,Fixed in trunk (r555005).,NEUTRAL,0.988907456
114,23357,neutral,It is just resolved in 2.0 and the changes for 1.x have been committed at the same moment. The dot: you'll find that the xml parser is not a general purpose xml parser complying to all details of xml. It doesn't have to. It just implements what is sufficient for Wicket. If only if there is a real need to implement an additional detail,NEGATIVE,0.387404531
115,23492,neutral,behvaiors:ajax calls is not always 1:1. some behaviors are purely clientside. also,NEUTRAL,0.903797984
116,23562,neutral,Rolled back the change to Resource and included a FIXME that notes we don't cover all cases. But that doesn't lead to very serious problems anymore as it least the exception isn't thrown up in ComponentResourceRequestTarget anymore.,NEGATIVE,0.927786946
117,23785,neutral,I just put this in branch-0.8 too. In fact,NEUTRAL,0.899688303
118,23837,neutral,Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.,NEUTRAL,0.985079527
119,24531,neutral,Changed the site to include the incubator disclaimer and incubator logo.,NEUTRAL,0.923678994
120,24867,neutral,Updated version of the patch. Removed the setter for the log storage provider in the stanza relay,NEUTRAL,0.94972378
121,24937,neutral,Committed in rev 983396,NEUTRAL,0.99908042
122,25612,negative,Sorry for the link 'block',NEGATIVE,0.982378304
123,26184,neutral,patch applied.,NEGATIVE,0.532042325
124,26594,neutral,Close all resolved issues for Engine 1.5 release.,NEGATIVE,0.860737979
125,27430,positive,Looks solid. I'm okay with resolving this one.,POSITIVE,0.945261836
126,27656,negative,We'll look at the issue for 1.1,NEUTRAL,0.699500382
127,27659,neutral,Closing as FIXED,NEGATIVE,0.970578492
128,27962,neutral,Code delivered to SVN.,NEUTRAL,0.976282299
129,28310,neutral,Change the element type of 'attributes' to FSAttribute.,NEUTRAL,0.937947989
130,28313,positive,Thanks for that comment Richard! I was laboring under the (false) impression that I could not change the docs that went with our previous releases,NEGATIVE,0.600822568
131,28338,neutral,added fixVersion,NEUTRAL,0.587531805
132,28741,neutral,documentation needs updating,NEGATIVE,0.742275357
133,28865,neutral,Fixed a prompt that asks user to enter either 's' or 'q'.,NEUTRAL,0.896036744
134,29014,positive,applied patch,NEUTRAL,0.92967695
135,29351,neutral,This issue is maybe related to UIMA-1408.,NEUTRAL,0.691072583
136,29492,neutral,I think this should be fixed/changed for uima-base too. Is there a reason it wasn't?,NEUTRAL,0.501733124
137,29936,positive,To test this,NEUTRAL,0.985868335
138,30705,neutral,Patch applied Eric.,NEUTRAL,0.992225528
139,31064,neutral,Closing resolved issues,NEGATIVE,0.733437598
140,31191,negative,Fixed. Sorry folks,NEGATIVE,0.84636724
141,31554,neutral,Dave has let me know that this has resoved the issue,NEUTRAL,0.657136619
142,31813,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
143,31936,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
144,32084,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
145,32125,neutral,This change is now in trunk as part of r679774.,NEUTRAL,0.816713333
146,32383,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
147,33026,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
148,33049,positive,This is now fixed!,NEGATIVE,0.665889859
149,33117,neutral,I've just made some observations on the tuscany-user mailing list which should appear in the mailing list archives shortly,NEUTRAL,0.990459323
150,33264,neutral,Assign to 1.0 during tidy up prior to 1.1,NEUTRAL,0.99500519
151,33497,neutral,Closing because this has been in RESOLVED state for over one year,NEGATIVE,0.833030999
152,33812,neutral,Here is a complete patch removing Composite* from the getImplementation() calls,NEUTRAL,0.947544873
153,33963,neutral,Assign to 1.0 during tidy up prior to 1.1,NEUTRAL,0.99500519
154,33984,neutral,reattaching with grant of license,NEUTRAL,0.74143976
155,34194,positive,Patch applied. Thanks!,POSITIVE,0.92523694
156,34239,neutral,Fixed in revision 406707.,NEUTRAL,0.979657829
157,34559,neutral,Lazy session associated has been implemented in the TuscanyValve The spec people are still discussing Scope so I am going to close this and we can open a new issue when the spec clearly defines how scopes operate.,NEUTRAL,0.425682664
158,36048,neutral,Right now ET_CALL,NEUTRAL,0.991542935
159,36052,neutral,Moving these all to a 'Doc 3.x' release version.,NEUTRAL,0.905281901
160,36205,neutral,as for V2.1.4 and later,NEUTRAL,0.793040514
161,36622,neutral,Proposed patch.,NEUTRAL,0.97418052
162,36623,positive,Reviewed and tested. Looks good so far,POSITIVE,0.995646894
163,36717,neutral,UIXListView also provides selection functionality through 'selectedRowKeys',NEUTRAL,0.964189887
164,36911,neutral,This is on top of http://svn.apache.org/repos/asf/myfaces/trinidad/branches/2.0.0.1-branch,NEUTRAL,0.865195274
165,37179,neutral,Patch over 1.2.12.3 branch.,NEGATIVE,0.677682459
166,37251,neutral,This issue is already comitted,NEGATIVE,0.986423433
167,37398,neutral,More done: -absolute-ordering faces-config/factory/view-declaration-language-factory faces-config/render-kit/renderer/client-behavior-renderer faces-config/application/partial-traversal,NEUTRAL,0.901054859
168,37778,neutral,The call to launchDialog must supply a component for delivery of the returnListener event. This bug is invalid.,NEGATIVE,0.933776796
169,37860,neutral,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix,NEUTRAL,0.997483671
170,37992,neutral,The issue as described by (resolved) issue TRINIDAD-1171 occurs consistently in our environment using 1.2.10,NEGATIVE,0.641327083
171,38439,neutral,Appled patch with some changes to compile with the new public rendering API.,NEUTRAL,0.92335093
172,38592,neutral,in branch,NEUTRAL,0.959894478
173,38797,neutral,home page fixed in svn.,NEUTRAL,0.635415971
174,38950,positive,I've re-worked my code and the problem has now 'gone away'. The original code,NEGATIVE,0.730943978
175,39032,neutral,Reopening issues to set version.,NEGATIVE,0.903198719
176,40844,neutral,Looks like a user issue to me,NEGATIVE,0.974874258
177,41195,positive,Thanks to Hazem Saleh for provide us this enhancement fixed at revision 655653,POSITIVE,0.650710046
178,41306,neutral,The above code is a part of a dataTable of course ...,NEUTRAL,0.951513648
179,41962,neutral,I have fixed that issue by checking for a null before the line 95 of HtmlInputTextRenderer: writer.writeAttribute(HTML.VALUE_ATTR,NEUTRAL,0.974603713
180,42086,positive,Thanks to Simon Kitching.,POSITIVE,0.963972807
181,42670,neutral,add separate handling for webkit browser,NEUTRAL,0.944846511
182,43512,neutral,I think you have enable ajax. f:loadBundle has only request scope. If you request the table sort the ajax response didn't know anything about the resource bundle. Please use tc:loadBundle it has session scope. But tc:loadBundle has a different semantic. Please consult the demo or other examples how to use it.,NEUTRAL,0.880556762
183,43983,neutral,Closed due to the release of Tiles 2.1.1,NEUTRAL,0.545396924
184,44105,neutral,Closed due to the release of Tiles 2.1.0.,NEUTRAL,0.608278632
185,44952,positive,As suggested above,NEUTRAL,0.764870226
186,44965,neutral,TagSoup 1.2.1 is finally available,NEUTRAL,0.956492782
187,45050,neutral,Actually I think I already applied similar changes when doing the POI 3.6 upgrade in TIKA-353. Resolving as fixed.,NEUTRAL,0.670950592
188,45473,neutral,Integrated in Thrift #633 (See https://builds.apache.org/job/Thrift/633/) THRIFT-1879 Add support for GObject-Introspection (Revision a51186b7f2bd388d95485404017f05eb3b861074) Result = ABORTED roger : https://git-wip-us.apache.org/repos/asf?p=thrift.git&a=commit&h=a51186b7f2bd388d95485404017f05eb3b861074 Files : lib/c_glib/src/thrift/c_glib/transport/thrift_transport.h lib/c_glib/src/thrift/c_glib/server/thrift_simple_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_buffered_transport.h lib/c_glib/src/thrift/c_glib/transport/thrift_framed_transport.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol_factory.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_binary_protocol.h lib/c_glib/src/thrift/c_glib/server/thrift_server.h lib/c_glib/src/thrift/c_glib/transport/thrift_transport_factory.h lib/c_glib/src/thrift/c_glib/transport/thrift_server_transport.h lib/c_glib/src/thrift/c_glib/thrift_application_exception.h lib/c_glib/src/thrift/c_glib/transport/thrift_memory_buffer.h lib/c_glib/src/thrift/c_glib/transport/thrift_socket.h lib/c_glib/src/thrift/c_glib/protocol/thrift_protocol.h lib/c_glib/src/thrift/c_glib/thrift_struct.h,NEUTRAL,0.995605886
189,45651,neutral,Integrated in Thrift #533 (See https://builds.apache.org/job/Thrift/533/) Thrift-1701:node.js TBufferedTransport buffer corruption Patch: Marshall Roch fix buffer copy method calls (Revision 1389517) Result = SUCCESS,NEUTRAL,0.999093652
190,45835,neutral,Integrated in Thrift #407 (See https://builds.apache.org/job/Thrift/407/) THRIFT-1517 TTransport.ReadAll() should set exception type to EndOfFile Patch: Stefan Gmeiner (Revision 1291039) Result = SUCCESS roger : http://svn.apache.org/viewvc/?view=rev&rev=1291039 Files : /thrift/trunk/lib/csharp/src/Transport/TTransport.cs,NEUTRAL,0.999300838
191,45877,neutral,Integrated in Thrift #426 (See https://builds.apache.org/job/Thrift/426/) THRIFT-1532/ THRIFT-1475 - fix record generation for erlang (Revision 1303663) Result = SUCCESS molinaro : http://svn.apache.org/viewvc/?view=rev&rev=1303663 Files : /thrift/trunk/compiler/cpp/src/generate/t_erl_generator.cc /thrift/trunk/lib/erl/Makefile.am /thrift/trunk/lib/erl/test/Thrift1475.thrift,NEUTRAL,0.99933964
192,46068,neutral,Integrated in Thrift #230 (See https://builds.apache.org/job/Thrift/230/) THRIFT-1284. cpp: fix processor inheritance Don't make processors that have a proper parent class also inherit from TProcessor. Patch: Adam Simpkins bryanduxbury : http://svn.apache.org/viewvc/?view=rev&rev=1160933 Files : /thrift/trunk/compiler/cpp/src/generate/t_cpp_generator.cc,NEUTRAL,0.99672395
193,46121,neutral,#NOME?,NEUTRAL,0.689505041
194,46218,neutral,was introduced with THRIFT-1267,NEUTRAL,0.978524208
195,46309,neutral,committed,NEGATIVE,0.505651653
196,46878,neutral,Bryan,NEUTRAL,0.998216212
197,46942,neutral,Second shot at this one,NEUTRAL,0.786159337
198,46997,positive,Ah,NEUTRAL,0.995131254
199,47248,neutral,In r681863,NEUTRAL,0.998890579
200,47855,positive,Great! I'm glad you found it helpful.,POSITIVE,0.997823358
201,48034,neutral,Very curious as to where you saw that exception. Because digging through my log files,NEUTRAL,0.519805431
202,48151,neutral,Duplicate of TAPESTRY-1988.,NEUTRAL,0.988877594
203,48779,positive,Thanks for the issue / steps to resolve. Pretty much did what you said verbatim. (as it worked out on the other regexp issue),POSITIVE,0.983250082
204,49357,neutral,patches applied,NEUTRAL,0.523065746
205,49361,neutral,Much cleared exception now .... org.apache.hivemind.ApplicationRuntimeException Component BadInjectComponent/border is not assignable to type org.apache.tapestry.html.Body. location: Annotation @org.apache.tapestry.annotations.InjectComponent(value=border) of public abstract org.apache.tapestry.html.Body pages.BadInjectComponent.getBorder() Stack Trace: ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* org.apache.tapestry.TapestryUtils.getComponent(TapestryUtils.java:301) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* $BadInjectComponent_0.finishLoad($BadInjectComponent_0.java) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* org.apache.tapestry.pageload.PageLoader.constructComponent(PageLoader.java:470) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* org.apache.tapestry.pageload.PageLoader.loadPage(PageLoader.java:639) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* $IPageLoader_1066542252f.loadPage($IPageLoader_1066542252f.java) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* $IPageLoader_10665422530.loadPage($IPageLoader_10665422530.java) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__* org.apache.tapestry.pageload.PageSource.getPage(PageSource.java:118),NEUTRAL,0.990274787
206,49721,neutral,It's actually been in there (in jakarta.apache.org/tapestry/current and in CVS) for a while.,NEUTRAL,0.837725699
207,49893,positive,Fixed - thanks!,POSITIVE,0.976370573
208,50449,neutral,Does not occurs on Firefox or Curl. Probably a Chrome problem.,NEGATIVE,0.877831995
209,50490,neutral,Integrated in tapestry-trunk-freestyle #515 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/515/]) ?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__?í_í_Œ¢?í__TAP5-1621 - Fixed test joshcanfield : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167447 Files : * /tapestry/tapestry5/trunk/tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/internal/services/TypeCoercerImplTest.java,NEUTRAL,0.999452174
210,50889,neutral,Seems like this has all been done.,NEUTRAL,0.564299047
211,51981,positive,Thanks for the sample app,POSITIVE,0.979843974
