id,Watson Score,Watson Analysis,"Google Score,Magnitude",google Magnitude,LabeldetGoogle,label
15084,,NA,0.3,0.3,positive,neutral
15330,,NA,0,0,neutral,neutral
15698,,negative,-0.1,1.1,neutral,neutral
15793,,negative,0,0.2,neutral,neutral
15801,,neutral,0,0,neutral,negative
15893,,neutral,-0.2,0.2,neutral,neutral
16633,,negative,0.2,0.2,neutral,neutral
16677,,neutral,-0.3,0.3,negative,neutral
16908,,positive,0,1.4,neutral,positive
16927,,neutral,-0.2,0.2,neutral,neutral
17369,,negative,-0.4,1.9,negative,neutral
17727,,neutral,0,0.1,neutral,neutral
17895,,neutral,0,0.1,neutral,neutral
17964,,NA,0.3,0.3,positive,neutral
18020,,NA,0.3,0.3,positive,neutral
18037,,neutral,0.1,0.3,neutral,neutral
18059,,neutral,-0.2,0.5,neutral,neutral
18121,,positive,-0.5,0.5,negative,neutral
18301,,positive,0.2,0.7,neutral,neutral
18707,,NA,0,0,neutral,neutral
18885,,NA,0.9,0.9,positive,positive
19423,,negative,-0.3,0.8,negative,neutral
19722,,positive,0,0.6,neutral,neutral
19905,,negative,-0.1,1.2,neutral,negative
19946,,neutral,0,0.1,neutral,neutral
20061,,neutral,0.3,0.3,positive,neutral
20237,,neutral,-0.1,0.1,neutral,neutral
20258,,neutral,0,0,neutral,neutral
20296,,neutral,0,0,neutral,neutral
20625,,neutral,0.1,0.1,neutral,neutral
20729,,NA,-0.7,0.7,negative,negative
20748,,neutral,0.1,0.1,neutral,neutral
20803,,neutral,-0.5,0.5,negative,neutral
20905,,negative,-0.6,0.6,negative,neutral
20927,,NA,0.4,0.4,positive,neutral
20968,,neutral,0,0,neutral,neutral
21128,,NA,0.8,0.8,positive,positive
21977,,neutral,0,0.1,neutral,neutral
22097,,positive,-0.1,0.1,neutral,neutral
22447,,positive,-0.1,0.1,neutral,neutral
22766,,positive,0.3,0.3,positive,neutral
23248,,neutral,0.3,0.3,positive,neutral
23357,,negative,-0.1,1.3,neutral,neutral
23492,,neutral,-0.4,1.2,negative,neutral
23562,,negative,-0.2,0.4,neutral,neutral
23785,,neutral,0.1,0.2,neutral,neutral
23837,,neutral,-0.3,0.3,negative,neutral
24531,,neutral,0,0,neutral,neutral
24867,,neutral,-0.2,0.4,neutral,neutral
24937,,neutral,0,0,neutral,neutral
25612,,negative,-0.1,0.1,neutral,negative
26184,,neutral,0,0,neutral,neutral
26594,,neutral,0.3,0.3,positive,neutral
27430,,positive,0.4,1.1,positive,positive
27656,,neutral,0,0,neutral,negative
27659,,neutral,-0.4,0.4,negative,neutral
27962,,negative,0,0,neutral,neutral
28310,,neutral,-0.2,0.2,neutral,neutral
28313,,positive,0.1,1.6,neutral,positive
28338,,neutral,0.2,0.2,neutral,neutral
28741,,neutral,-0.6,0.6,negative,neutral
28865,,positive,0.6,0.6,positive,neutral
29014,,neutral,0,0,neutral,positive
29351,,neutral,-0.5,0.5,negative,neutral
29492,,negative,-0.4,0.8,negative,neutral
29936,,neutral,0,0,neutral,positive
30705,,neutral,0,0,neutral,neutral
31064,,neutral,0.5,0.5,positive,neutral
31191,,negative,-0.1,1,neutral,negative
31554,,neutral,-0.3,0.3,negative,neutral
31813,,positive,-0.7,0.7,negative,neutral
31936,,positive,-0.7,0.7,negative,neutral
32084,,positive,-0.7,0.7,negative,neutral
32125,,neutral,-0.1,0.1,neutral,neutral
32383,,positive,-0.7,0.7,negative,neutral
33026,,positive,-0.7,0.7,negative,neutral
33049,,positive,0.6,0.6,positive,positive
33117,,neutral,0,0,neutral,neutral
33264,,neutral,0,0,neutral,neutral
33497,,positive,-0.7,0.7,negative,neutral
33812,,neutral,-0.1,0.1,neutral,neutral
33963,,neutral,0,0,neutral,neutral
33984,,neutral,0.1,0.1,neutral,neutral
34194,,positive,0.4,0.9,positive,positive
34239,,neutral,0.2,0.2,neutral,neutral
34559,,positive,-0.5,0.5,negative,neutral
36048,,neutral,0,0,neutral,neutral
36052,,positive,-0.1,0.1,neutral,neutral
36205,,neutral,-0.1,0.1,neutral,neutral
36622,,neutral,0,0,neutral,neutral
36623,,positive,0,0,neutral,positive
36717,,neutral,0.3,0.3,positive,neutral
36911,,neutral,0.4,0.4,positive,neutral
37179,,neutral,0,0,neutral,neutral
37251,,negative,-0.7,0.7,negative,neutral
37398,,positive,0,0,neutral,neutral
37778,,neutral,-0.4,0.9,negative,neutral
37860,,neutral,-0.4,0.4,negative,neutral
37992,,neutral,0,0,neutral,neutral
38439,,neutral,0,0,neutral,neutral
38592,,NA,0,0,neutral,neutral
38797,,neutral,0,0,neutral,neutral
38950,,negative,0.3,0.6,positive,positive
39032,,neutral,-0.6,0.6,negative,neutral
40844,,negative,-0.7,0.7,negative,neutral
41195,,positive,0.7,0.7,positive,positive
41306,,neutral,0,0,neutral,neutral
41962,,negative,-0.1,0.1,neutral,neutral
42086,,positive,0.4,0.4,positive,positive
42670,,neutral,-0.3,0.3,negative,neutral
43512,,negative,-0.2,1.9,neutral,neutral
43983,,neutral,-0.6,0.6,negative,neutral
44105,,neutral,-0.7,0.7,negative,neutral
44952,,neutral,0.1,0.1,neutral,positive
44965,,positive,0.3,0.3,positive,neutral
45050,,negative,-0.1,0.2,neutral,neutral
45473,,negative,0,0,neutral,neutral
45651,,positive,0,0,neutral,neutral
45835,,positive,0,0,neutral,neutral
45877,,positive,0,0,neutral,neutral
46068,,neutral,-0.1,0.7,neutral,neutral
46121,,NA,0,0,neutral,neutral
46218,,neutral,-0.1,0.1,neutral,neutral
46309,,NA,0.5,0.5,positive,neutral
46878,,NA,0.3,0.3,positive,neutral
46942,,neutral,0,0,neutral,neutral
46997,,NA,0,0,neutral,positive
47248,,NA,0,0,neutral,neutral
47855,,positive,0.9,1.9,positive,positive
48034,,neutral,0,0.7,neutral,neutral
48151,,neutral,0,0,neutral,neutral
48779,,positive,0.3,1.1,positive,positive
49357,,neutral,0,0,neutral,neutral
49361,,positive,0,0.4,neutral,neutral
49721,,positive,-0.2,0.2,neutral,neutral
49893,,positive,0.7,0.7,positive,positive
50449,,negative,-0.3,0.7,negative,neutral
50490,,neutral,0,0,neutral,neutral
50889,,positive,-0.2,0.2,neutral,neutral
51981,,positive,0.6,0.6,positive,positive
52309,,negative,0,0.2,neutral,neutral
52597,,positive,0.8,0.8,positive,positive
52716,,neutral,0.3,0.3,positive,neutral
53257,,positive,0,0,neutral,positive
53284,,neutral,-0.2,0.6,neutral,neutral
53882,,neutral,0.4,0.4,positive,positive
54763,,NA,0.3,0.3,positive,neutral
56246,,neutral,0.1,0.6,neutral,neutral
56598,,neutral,0,0.1,neutral,neutral
57081,,neutral,-0.1,0.1,neutral,neutral
57099,,negative,-0.4,0.8,negative,neutral
57161,,neutral,0.1,0.1,neutral,neutral
57316,,neutral,0.4,0.4,positive,neutral
57398,,negative,-0.5,1,negative,neutral
58251,,neutral,-0.2,0.4,neutral,neutral
58473,,NA,0.1,0.1,neutral,neutral
58484,,negative,-0.4,0.4,negative,neutral
58537,,neutral,-0.3,0.3,negative,neutral
58715,,neutral,0.3,0.3,positive,neutral
58727,,neutral,-0.1,0.1,neutral,neutral
58874,,neutral,0,0,neutral,neutral
58877,,negative,0.2,1,neutral,neutral
59054,,neutral,-0.6,0.6,negative,neutral
59275,,negative,-0.7,0.7,negative,neutral
60022,,negative,-0.3,0.3,negative,neutral
60192,,neutral,0,0,neutral,neutral
60217,,positive,0.8,0.8,positive,positive
60365,,neutral,-0.2,0.2,neutral,neutral
60566,,neutral,0,0,neutral,neutral
60669,,neutral,0.3,0.3,positive,neutral
60790,,neutral,0,0.3,neutral,neutral
60817,,neutral,-0.4,0.9,negative,neutral
60965,,NA,0.3,0.3,positive,neutral
61104,,negative,-0.7,0.7,negative,negative
61118,,neutral,0,0,neutral,neutral
61272,,positive,0.7,0.7,positive,positive
61559,,neutral,0.2,0.2,neutral,negative
61660,,neutral,-0.1,0.2,neutral,neutral
61898,,neutral,0,0,neutral,neutral
61974,,neutral,0,0,neutral,neutral
62999,,neutral,0,0,neutral,neutral
63070,,neutral,-0.1,0.1,neutral,neutral
63697,,NA,0,0,neutral,positive
63811,,negative,-0.3,0.3,negative,neutral
64082,,negative,-0.2,0.4,neutral,neutral
64300,,NA,-0.5,0.5,negative,neutral
64407,,neutral,-0.3,0.6,negative,neutral
64751,,neutral,0.3,0.9,positive,positive
65088,,neutral,-0.4,0.4,negative,neutral
65661,,neutral,0.4,0.4,positive,neutral
65869,,neutral,-0.1,0.4,neutral,neutral
67087,,NA,0.6,0.6,positive,neutral
67301,,NA,0.9,0.9,positive,positive
68066,,negative,-0.1,1.4,neutral,negative
68136,,neutral,0,0,neutral,neutral
68254,,neutral,0,0,neutral,neutral
68305,,neutral,0,0,neutral,neutral
68539,,positive,-0.3,2.3,negative,neutral
69146,,neutral,0.1,0.3,neutral,neutral
69716,,negative,-0.2,0.8,neutral,negative
70265,,neutral,-0.2,0.2,neutral,negative
70682,,neutral,-0.3,0.3,negative,neutral
71085,,neutral,0,0,neutral,neutral
71224,,neutral,-0.1,0.1,neutral,neutral
71371,,neutral,0,0,neutral,neutral
71565,,negative,-0.6,0.6,negative,neutral
72474,,neutral,0.4,0.4,positive,neutral
73133,,NA,0.5,0.5,positive,neutral
73230,,negative,0,0,neutral,neutral
73977,,neutral,0,0.1,neutral,neutral
74032,,positive,0.1,2.2,neutral,positive
74046,,positive,0.9,0.9,positive,positive
74301,,positive,0.4,0.9,positive,positive
74448,,negative,-0.7,0.7,negative,neutral
74491,,neutral,0,0.1,neutral,neutral
75121,,NA,0,0,neutral,neutral
75490,,NA,0.7,0.7,positive,neutral
75762,,NA,0.3,0.3,positive,negative
75901,,neutral,-0.1,0.1,neutral,neutral
76244,,neutral,0,0,neutral,neutral
76385,,positive,0.8,1.7,positive,positive
76425,,positive,0,0,neutral,neutral
76494,,neutral,-0.4,0.4,negative,neutral
76631,,neutral,-0.5,0.5,negative,neutral
76643,,neutral,-0.4,0.4,negative,neutral
77011,,neutral,0.3,0.3,positive,neutral
77424,,neutral,-0.2,0.2,neutral,neutral
77769,,neutral,-0.7,0.7,negative,neutral
77849,,neutral,-0.6,0.6,negative,neutral
78211,,neutral,0.6,0.6,positive,neutral
78329,,neutral,0.8,0.8,positive,neutral
78759,,NA,0.3,0.3,positive,positive
79211,,NA,0.7,0.7,positive,neutral
79309,,neutral,0.5,0.5,positive,neutral
80577,,NA,-0.1,0.1,neutral,neutral
80738,,neutral,-0.2,1.3,neutral,negative
80768,,neutral,0,0,neutral,neutral
81122,,neutral,0.2,0.2,neutral,neutral
81230,,neutral,0,0,neutral,neutral
81302,,neutral,-0.4,0.4,negative,neutral
142960,,negative,-0.2,0.8,neutral,neutral
143113,,neutral,-0.1,0.3,neutral,neutral
143772,,positive,0.2,0.4,neutral,positive
144827,,positive,0.4,1.6,positive,positive
144829,,positive,0.2,0.4,neutral,positive
147770,,NA,0,0,neutral,negative
148049,,positive,0,0,neutral,neutral
148474,,positive,0.4,0.8,positive,positive
148846,,positive,0.2,1.4,neutral,positive
148944,,neutral,0,0,neutral,positive
149211,,negative,0.1,0.1,neutral,neutral
149494,,neutral,-0.2,0.7,neutral,neutral
149729,,negative,-0.1,0.5,neutral,neutral
150015,,positive,0,0.3,neutral,positive
152072,,negative,0.2,0.2,neutral,neutral
153162,,negative,-0.2,0.7,neutral,neutral
154212,,positive,0,0.7,neutral,neutral
154342,,negative,-0.8,0.8,negative,negative
154445,,positive,0.4,0.9,positive,positive
155401,,positive,0,1.2,neutral,positive
155538,,neutral,0.4,0.4,positive,neutral
155850,,positive,0.3,0.7,positive,positive
156570,,positive,0.3,0.7,positive,positive
160975,,positive,0.3,0.7,positive,positive
161195,,positive,0.2,0.7,neutral,positive
162658,,positive,0.5,1,positive,positive
162927,,positive,0.3,0.7,positive,positive
162964,,positive,0.1,0.2,neutral,positive
164186,,NA,0,0.2,neutral,positive
164568,,negative,-0.1,2.3,neutral,neutral
166330,,positive,0.2,0.6,neutral,positive
166401,,positive,0.2,0.5,neutral,positive
170787,,neutral,0,0,neutral,neutral
170864,,positive,0.4,0.9,positive,neutral
171334,,neutral,-0.4,0.4,negative,neutral
172163,,positive,0.1,0.8,neutral,positive
173182,,neutral,0.2,0.9,neutral,positive
173274,,positive,0,0,neutral,positive
173483,,positive,0.4,1.8,positive,positive
173576,,positive,0.7,0.7,positive,positive
174742,,positive,0,0.6,neutral,positive
175684,,positive,0,0,neutral,positive
176941,,positive,0.1,0.1,neutral,positive
177248,,positive,0.2,0.8,neutral,neutral
178327,,negative,0,1,neutral,neutral
178520,,neutral,0,0,neutral,neutral
179396,,positive,0.3,0.3,positive,positive
180844,,negative,0,0.3,neutral,negative
181007,,neutral,0.1,0.1,neutral,positive
181238,,neutral,0,0,neutral,neutral
181480,,positive,0,0.1,neutral,positive
183044,,positive,0.2,0.2,neutral,neutral
183171,,neutral,0,0,neutral,neutral
183244,,negative,0.5,0.5,positive,neutral
185521,,neutral,-0.5,0.5,negative,neutral
186655,,negative,-0.2,2.1,neutral,positive
188091,,positive,0.9,0.9,positive,positive
188714,,positive,0.3,0.3,positive,neutral
190130,,negative,-0.4,0.4,negative,neutral
190864,,negative,0,0.4,neutral,neutral
191183,,positive,0,0.5,neutral,neutral
192614,,neutral,-0.1,0.1,neutral,neutral
194247,,neutral,0.1,0.1,neutral,neutral
197695,,positive,0,0,neutral,neutral
197776,,positive,0.1,0.1,neutral,neutral
199420,,positive,0.2,0.2,neutral,neutral
199717,,positive,-0.5,0.5,negative,neutral
200875,,positive,0.3,0.6,positive,positive
201706,,negative,-0.5,1,negative,neutral
202185,,negative,-0.2,0.9,neutral,negative
206221,,positive,0.5,0.5,positive,positive
206932,,positive,0.8,0.8,positive,positive
207723,,neutral,-0.5,0.5,negative,neutral
208398,,positive,-0.2,1.1,neutral,positive
209475,,negative,0.2,0.2,neutral,positive
211593,,positive,0.6,0.6,positive,positive
212846,,positive,0.4,1.2,positive,positive
213366,,positive,0.3,0.3,positive,positive
213914,,neutral,0.2,0.5,neutral,neutral
214960,,negative,-0.6,1.3,negative,neutral
215475,,positive,0.1,0.2,neutral,neutral
215493,,negative,-0.2,0.2,neutral,neutral
217255,0,neutral,0,0,neutral,neutral
219298,0,neutral,0,0,neutral,neutral
219827,-0.952654,negative,-0.3,0.8,negative,negative
222604,0.310866,positive,-0.1,0.7,neutral,neutral
223141,-0.748751,negative,-0.3,0.7,negative,negative
223149,-0.782972,negative,-0.4,0.4,negative,negative
224650,-0.919783,negative,0,1.1,neutral,negative
224668,,NA,0.1,0.1,neutral,positive
225352,,positive,-0.3,0.3,negative,positive
227774,,positive,0.9,0.9,positive,positive
228002,,positive,0.2,0.4,neutral,positive
228442,,negative,-0.1,0.3,neutral,neutral
228884,,negative,-0.4,3,negative,negative
230623,,neutral,-0.7,0.7,negative,neutral
232713,,NA,0.3,0.3,positive,positive
234032,,neutral,-0.4,0.4,negative,neutral
235413,,neutral,-0.7,0.7,negative,neutral
235449,,positive,-0.6,0.6,negative,positive
239347,,positive,0.3,2.2,positive,positive
239968,,positive,0.3,0.7,positive,positive
240762,,negative,-0.5,0.5,negative,neutral
241528,,negative,-0.2,0.5,neutral,neutral
241869,,positive,0.2,0.8,neutral,positive
242317,,negative,-0.4,0.4,negative,neutral
242937,,positive,0.5,0.5,positive,positive
243580,,positive,0,0.9,neutral,neutral
244234,,negative,-0.4,0.4,negative,neutral
245900,,negative,-0.1,0.5,neutral,negative
245975,,negative,-0.1,0.7,neutral,neutral
247154,,negative,0,2.4,neutral,neutral
252866,,positive,0.7,1.5,positive,positive
253964,,neutral,0,0,neutral,neutral
254247,,neutral,0,0,neutral,neutral
254258,,negative,-0.3,1.5,negative,negative
256401,,negative,0.4,0.4,positive,neutral
258144,,negative,-0.6,1.3,negative,neutral
258738,,positive,0,0,neutral,neutral
259976,,positive,0,0,neutral,positive
261274,,neutral,0.5,0.5,positive,neutral
261633,,neutral,0.3,0.3,positive,neutral
261914,,neutral,-0.2,0.2,neutral,neutral
262551,,neutral,0.3,0.3,positive,neutral
280617,,neutral,-0.5,0.5,negative,positive
281921,,negative,-0.4,0.4,negative,neutral
284021,,neutral,0,0,neutral,neutral
290793,,positive,0,0.9,neutral,neutral
291377,,positive,0.2,0.2,neutral,positive
291612,,positive,0.1,0.3,neutral,positive
291635,,negative,-0.3,3.5,negative,neutral
291850,,neutral,0,0,neutral,neutral
293619,,positive,0.9,0.9,positive,positive
294556,,positive,0,0,neutral,positive
295669,,positive,0,0.2,neutral,positive
296900,,neutral,0.2,0.7,neutral,positive
297217,,neutral,0,0.4,neutral,neutral
298580,,neutral,0,0,neutral,neutral
299122,,neutral,0.1,0.2,neutral,neutral
300072,,positive,0.1,0.2,neutral,positive
300902,,positive,0.1,0.3,neutral,positive
301709,,positive,0,0,neutral,positive
302984,,positive,0.9,0.9,positive,positive
303720,,positive,0.2,0.2,neutral,positive
304537,,positive,0.2,0.8,neutral,positive
305110,,positive,0.1,0.2,neutral,positive
306760,,neutral,0,0,neutral,neutral
307176,,neutral,-0.3,0.7,negative,neutral
307493,,negative,-0.2,3.7,neutral,positive
308149,,positive,0,0.9,neutral,neutral
308996,,negative,0,0,neutral,negative
309035,,negative,-0.4,0.8,negative,neutral
309831,,neutral,0.4,0.4,positive,neutral
310439,,negative,-0.2,0.2,neutral,neutral
311361,,neutral,0,0.1,neutral,neutral
311489,,positive,0.3,0.7,positive,positive
311950,,positive,0,0.2,neutral,neutral
312081,,neutral,0.1,0.5,neutral,neutral
312314,,positive,0.3,0.3,positive,positive
313255,,neutral,0.3,0.6,positive,neutral
314402,,negative,-0.1,2.5,neutral,positive
315383,,negative,-0.3,0.6,negative,negative
316230,,positive,-0.7,0.7,negative,negative
317745,,negative,0.1,0.3,neutral,neutral
319442,,neutral,0,0,neutral,neutral
321141,,positive,0.5,0.5,positive,positive
321797,,positive,0.4,0.9,positive,positive
322027,,positive,0.1,0.7,neutral,positive
322631,,positive,0.5,1.9,positive,positive
322789,,positive,0.1,0.4,neutral,positive
322943,,positive,0.4,0.8,positive,positive
323047,,positive,0.3,0.7,positive,positive
323102,,negative,-0.4,0.4,negative,negative
323229,,positive,0.1,0.2,neutral,positive
324726,,positive,0.4,0.9,positive,positive
326005,,positive,0,0.3,neutral,positive
327446,,positive,0.3,1.9,positive,positive
327578,,positive,-0.1,1.4,neutral,positive
328733,,neutral,0.3,0.3,positive,neutral
330039,,positive,0,0.5,neutral,positive
330483,,positive,0.1,0.1,neutral,neutral
331092,,negative,-0.4,1.4,negative,negative
332469,,positive,0.1,1.1,neutral,positive
336066,,positive,-0.2,0.2,neutral,neutral
336173,,negative,-0.4,2.8,negative,neutral
336319,,negative,-0.7,2.9,negative,neutral
337058,,neutral,0.1,0.1,neutral,neutral
337647,,negative,-0.2,0.2,neutral,neutral
340961,,neutral,0,0,neutral,neutral
342623,,negative,-0.2,2.7,neutral,negative
343726,,neutral,0,0,neutral,neutral
343804,,neutral,0,0,neutral,neutral
344115,,positive,0.5,1,positive,positive
344741,,neutral,0,0,neutral,neutral
346187,,positive,0.2,0.2,neutral,positive
346690,,neutral,0,0,neutral,positive
346850,,positive,0.3,0.7,positive,positive
346932,,positive,0.2,0.2,neutral,positive
347366,,positive,0.3,0.7,positive,positive
347886,,positive,0,0.1,neutral,positive
349073,,positive,0.3,0.6,positive,positive
350441,,positive,0.3,0.3,positive,positive
351254,,negative,-0.3,0.9,negative,neutral
352106,,neutral,0.4,1.3,positive,neutral
353429,,neutral,0,0.1,neutral,neutral
354002,,neutral,0.4,0.8,positive,neutral
355274,,positive,0.3,0.3,positive,positive
356957,,positive,0.6,1.9,positive,positive
360225,,negative,0.2,0.2,neutral,negative
361580,,neutral,0,0,neutral,neutral
362105,,neutral,-0.2,0.2,neutral,neutral
362729,,positive,0.6,0.6,positive,positive
365070,,positive,0.2,0.2,neutral,positive
366358,,positive,0.4,1.4,positive,neutral
366522,,negative,0,1.3,neutral,neutral
367415,,neutral,0.1,0.1,neutral,neutral
369955,,negative,-0.1,0.1,neutral,negative
370312,,positive,0.9,0.9,positive,neutral
370399,,negative,0,1.3,neutral,neutral
371242,,neutral,0,0,neutral,neutral
371315,,negative,-0.2,3,neutral,neutral
371455,,negative,-0.1,2.8,neutral,neutral
372617,,positive,-0.1,0.5,neutral,neutral
372849,,neutral,0.4,0.8,positive,neutral
373155,,neutral,0.4,0.4,positive,neutral
374262,,negative,-0.3,0.3,negative,neutral
374719,,neutral,-0.2,0.5,neutral,neutral
374731,,negative,-0.3,0.7,negative,neutral
375472,,negative,-0.1,0.7,neutral,negative
375488,,NA,-0.8,0.8,negative,neutral
375955,,neutral,0,0,neutral,neutral
376070,,negative,-0.2,1.3,neutral,neutral
376118,,negative,-0.7,0.7,negative,neutral
376982,,neutral,0.2,0.4,neutral,neutral
380389,,neutral,0.7,0.7,positive,neutral
381031,,negative,-0.3,2.5,negative,neutral
382295,,positive,0,0.7,neutral,neutral
383275,,positive,0,0,neutral,positive
383550,,neutral,0.4,0.4,positive,neutral
383797,,neutral,0,0,neutral,neutral
384275,,positive,0.3,0.6,positive,positive
385510,,positive,0.2,0.5,neutral,positive
386401,,negative,-0.1,0.7,neutral,neutral
387581,,negative,0.2,1.4,neutral,negative
388670,,negative,0,0,neutral,negative
389330,,positive,0.2,0.4,neutral,positive
390173,,negative,0,0.9,neutral,negative
390499,,positive,0,0,neutral,neutral
394234,,negative,0,1.8,neutral,neutral
398909,,positive,0.2,0.2,neutral,neutral
400655,,positive,0,1.1,neutral,positive
401129,,positive,0.1,1.3,neutral,positive
401954,,positive,0.1,0.2,neutral,positive
402282,,negative,0.1,0.1,neutral,neutral
402956,,positive,0.2,1.3,neutral,positive
403550,,positive,0.6,1.3,positive,positive
403717,,positive,0.3,0.7,positive,positive
404652,,neutral,0.2,0.2,neutral,neutral
406541,,neutral,0,0,neutral,neutral
407329,,positive,0.5,0.5,positive,positive
409724,,neutral,-0.2,0.2,neutral,neutral
410412,,positive,0.8,0.8,positive,positive
411463,,neutral,0.3,0.9,positive,neutral
411678,,positive,0.6,0.6,positive,positive
411957,,negative,-0.4,1.2,negative,negative
411980,,positive,0.3,0.6,positive,neutral
413098,,neutral,0.2,0.2,neutral,neutral
415725,,positive,0.1,0.3,neutral,positive
415813,,positive,0.9,1.8,positive,positive
416794,,positive,0.7,1.4,positive,positive
417283,,positive,-0.1,1,neutral,positive
418820,,negative,-0.5,1.5,negative,negative
419965,,neutral,0.3,0.3,positive,neutral
420669,,neutral,0,0,neutral,neutral
421491,,positive,0.4,0.8,positive,positive
423036,,positive,-0.6,0.6,negative,neutral
423333,,negative,-0.3,1,negative,negative
424998,,negative,-0.4,6.1,negative,neutral
425202,,positive,0.1,0.2,neutral,positive
425641,,neutral,-0.2,0.2,neutral,neutral
426155,,negative,0,1.6,neutral,neutral
426215,,negative,-0.2,0.6,neutral,neutral
426747,,positive,-0.2,0.8,neutral,positive
428789,,positive,0.1,0.1,neutral,neutral
430780,,positive,0,0.1,neutral,positive
432975,,neutral,0,0,neutral,neutral
433285,,neutral,0.1,0.1,neutral,neutral
433604,,neutral,0,0,neutral,neutral
435386,,neutral,0.1,0.1,neutral,neutral
436503,,neutral,0,0.1,neutral,neutral
438130,,positive,0.8,0.8,positive,neutral
438475,,neutral,0.4,0.4,positive,neutral
441029,,positive,0.8,0.8,positive,positive
441164,,neutral,-0.2,0.5,neutral,neutral
441370,,positive,0.7,0.7,positive,positive
441958,,neutral,-0.2,0.2,neutral,neutral
442921,,positive,0.1,0.1,neutral,positive
443252,,negative,-0.6,0.6,negative,neutral
443959,,positive,0.2,0.5,neutral,positive
444644,,positive,0,0.1,neutral,positive
446268,,positive,0,0,neutral,positive
447143,,positive,-0.6,1.2,negative,neutral
448492,,positive,0,0.4,neutral,positive
449593,,negative,-0.1,0.6,neutral,neutral
451089,,neutral,-0.3,0.3,negative,negative
451442,,negative,-0.2,1.1,neutral,neutral
453939,,positive,0.4,0.9,positive,positive
454946,,positive,0.2,0.5,neutral,positive
455054,,positive,0.3,0.7,positive,positive
455643,,positive,0,6.1,neutral,positive
456635,,positive,0.3,0.7,positive,positive
